DCD,DCn
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00184,0.002409
0.00179,0.0035
0.00134,0.004612
0.000891,0.005743
0.000444,0.00689
-3.3e-06,0.008051
-0.00045,0.009224
-0.000896,0.0104
-0.00134,0.01159
-0.00181,0.01272
-0.00228,0.0137
-0.00277,0.0146
-0.00327,0.01542
-0.00378,0.01614
-0.0043,0.01676
-0.00483,0.01728
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
0.00269,0.001341
-0.00483,0.01728
-0.00483,0.01728
-0.00483,0.01728
-0.00483,0.01728
-0.00483,0.01728
-0.00483,0.01728
-0.00483,0.01728
-0.00483,0.01728
-0.00483,0.01728
-0.00483,0.01728
-0.00483,0.01728
-0.00483,0.01728
-0.00483,0.01728
-0.00483,0.01728
-0.00483,0.01728
-0.00483,0.01728
-0.00483,0.01728
-0.00483,0.01728
-0.00483,0.01728
-0.00483,0.01728
-0.00483,0.01728
-0.00483,0.01728
-0.00483,0.01728
-0.00483,0.01728
-0.00483,0.01728
-0.00483,0.01728
-0.00483,0.01728
-0.00483,0.01728
-0.00483,0.01728
-0.00483,0.01728
-0.00483,0.01728
-0.00483,0.01728
-0.00483,0.01728
-0.00483,0.01728
-0.00483,0.01728
-0.00483,0.01728
-0.00483,0.01728
-0.00483,0.01728
-0.00483,0.01728
-0.00483,0.01728
-0.00483,0.01728
-0.00483,0.01728
-0.00483,0.01728
