DCL,DCm,DCl
-0.068,0.2664,-0.086541
-0.06,0.231,-0.074845
-0.037,0.1449,-0.043187
-0.019,0.0725,-0.021593
0.0,-0.0001,0.0
0.019,-0.0725,0.021593
0.037,-0.1449,0.043187
0.06,-0.231,0.074845
0.068,-0.2664,0.086541
-0.07,0.2715,-0.086708
-0.061,0.2355,-0.074988
-0.038,0.1477,-0.04327
-0.019,0.0739,-0.021635
0.0,-0.0001,0.0
0.019,-0.0739,0.021635
0.038,-0.1477,0.04327
0.061,-0.2355,0.074988
0.07,-0.2715,0.086708
-0.07,0.2741,-0.086826
-0.062,0.2378,-0.07509
-0.038,0.1492,-0.043328
-0.019,0.0746,-0.021664
0.0,-0.0001,0.0
0.019,-0.0746,0.021664
0.038,-0.1492,0.043328
0.062,-0.2378,0.07509
0.07,-0.2742,0.086826
-0.071,0.2725,-0.086917
-0.062,0.2364,-0.07517
-0.039,0.1483,-0.043374
-0.019,0.0741,-0.021687
0.0,-0.0001,0.0
0.019,-0.0741,0.021687
0.039,-0.1483,0.043374
0.062,-0.2364,0.07517
0.071,-0.2726,0.086917
-0.072,0.2703,-0.086992
-0.063,0.2345,-0.075234
-0.039,0.1471,-0.043411
-0.02,0.0735,-0.021706
0.0,-0.0001,0.0
0.02,-0.0735,0.021706
0.039,-0.1471,0.043411
0.063,-0.2345,0.075234
0.072,-0.2703,0.086992
-0.072,0.2632,-0.087055
-0.063,0.2284,-0.075289
-0.039,0.1432,-0.043443
-0.02,0.0716,-0.021721
0.0,-0.0001,0.0
0.02,-0.0716,0.021721
0.039,-0.1432,0.043443
0.063,-0.2284,0.075289
0.072,-0.2633,0.087055
-0.072,0.252,-0.087109
-0.063,0.2186,-0.075336
-0.039,0.1371,-0.04347
-0.02,0.0685,-0.021735
0.0,-0.0001,0.0
0.02,-0.0685,0.021735
0.039,-0.1371,0.04347
0.063,-0.2186,0.075336
0.072,-0.2521,0.087109
-0.073,0.2431,-0.087158
-0.064,0.2108,-0.075378
-0.04,0.1322,-0.043494
-0.02,0.0661,-0.021747
0.0,-0.0001,0.0
0.02,-0.0661,0.021747
0.04,-0.1322,0.043494
0.064,-0.2108,0.075378
0.073,-0.2432,0.087158
